word,meaning,wordnet,pos,example,note
มอง,ตาข่ายดักปลา,03819994-n,-,-,-
ต่อน,เนื้อ,05268112-n,-,-,-
สุ๊หัว,สระผม,00042017-v,-,-,-
บื๋น,คลาน แบบ ช้าๆทำตัวให้ลีบๆ,01885845-v,-,-,-
ร่ะเอิ๋ม,น่ารังเกียจ,00306909-r,-,-,-
กกมะยม,ต้นมะยม,-,-,-,-
หมู่กั๋น,เพื่อนกัน,08273843-n,-,-,-
งวม,คว่ำ/ครอบ,-,-,-,-
คนฝนมีด,ลับคมมีด,01246601-v,-,-,-
ร่ำไร,ชักช้า,02011685-v,-,-,-
จอด,เชื่อม/ทำให้มันติดกันเหมือนเดิม,01354673-v,-,-,-
กะทะระราย,อัธยาศัยดี/พูดคุยดี,00220052-r,-,-,-
ระอ๋อม,เจ็บ/บอบช้ำ,00065070-v,-,-,-
วะวาบ,โล่งอกโล่งใจ/โล่งใจ,07492655-n,-,-,-
พูดเดิม,นินทา,00907657-v,-,-,-
เล่นนอก,แซวเล่น/พูดหยอก,06721949-n,-,-,-
เสมอหรึ่ม,ไม่สนใจใคร/นิ่งเฉย,-,-,-,-
น่ำต๋าลอยหน่วย,น้ำตาคลอ,00066977-v,-,-,-
หน่วยแหน่,น้อยหน่า,oewn-11714450-n,-,-,-
ก้อด๋ายเนาะ,ช่างทำไปได้,-,-,-,-
ก่ำอ็อก,หลบ/ซุก/ซ่อน/แอบ,01918521-v,-,-,-
น่ำต๋าลอยหน่วย,น้ำตาคลอ,-,-,-,-
อั๋ย,อะไร,-,-,-,-
กำรึน,เกร็ง,01572728-v,-,-,-
เอิด,โผล่,-,-,-,-
ไอ้นาย,ผม/ฉัน,-,-,-,-
หมุ่น,ดุน/มุด/ลอด,-,-,-,-
จ่ำหึน,ดันทุรัง/ไม่เป็นธรรมชาติ,-,-,-,-
ปะลม,ผสม/รวมกับ/พร้อมๆกัน,-,-,-,-
เจ่นเด,มาก/หลาย,01551633-a,-,-,-
เอิดเปิด,ชูชัน/เห็นเด่นชัด,01286799-a,-,-,-
รุระ,ให้ไว/ไว,-,-,-,-
ทิศปะติ๋น,ทิศใต้,-,-,-,-
ขะยึก,เร่งรีบ,-,-,-,-
ฉะมุดน้ำ,ดำน้ำ,-,-,-,-
นั่นเอ๋ง,นั่นแหละ,-,-,-,-
สูกหยูก,รุงรัง,-,-,-,-
กลิ้งโข่โหล่,กลิ้งไม่เป็นท่า,-,-,-,-
กึก,เป็นใบ้,-,-,-,-
เดิ่น,ลาน,-,-,-,-
กะโหลก,กะลามะพร้าว,-,-,-,-
จ่ง,แบ่ง,-,-,-,-
กู้ผ่า,เก็บผ้า,-,-,-,-
จะหลืน,ทะเล้น/ทะลึ่ง,-,-,-,-
โพด,เกินไป,-,-,-,-
จั๊กไอ์เยอ,อะไรก็ไม่รู้,-,-,-,-
ขะยื่อ,เอื้อม,-,-,-,-
นิ,หรือ/ใช่ไหม,-,-,-,-
ขี่ขะหนิม,ขี้ไคล,-,-,-,-
ต่องหม่อง,คั้งอยู่,-,-,-,-
หมาน,โชคดี,01049210-a,-,-,-
ล่ะโลก,โคลนตม,-,-,-,-
โชก,เปียกแฉะ,02547317-a,-,-,-
เหงิบ,เงย,-,-,-,-
เหิบ,ปิดไม่สนิท,-,-,-,-
อิลักอิหลูบ,ทุลักทุเล,-,-,-,-
เตลิด,เลย,-,-,-,-
หระอ์อม,เจ็บรวดร้าว,-,-,-,-
ชวดโม่ะ,ชวด,-,-,-,-
ถั่วดิ๋น,ถั่วลิสง,-,-,-,-
เสงิม,เชื่องช้า,-,-,-,-
เบ๊าะ,ที่นอน,-,-,-,-
บ่อน,ที่,-,-,-,-
ปะเลาะ,เกลี้ยกล่อม,-,-,-,-
น่ำขี่สีก,น้ำครำ,-,-,-,-
โรม,รวม,-,-,-,-
บ๊ก,พร่อง,-,-,-,-
หระวน,ยุ่ง,-,-,-,-
ทิศตะออก,ทิศตะวันออก,13832355-n,-,-,-
วะหน่า,สมน้ำหน้า,-,-,-,-
งึ่ด,ฉงน,-,-,-,-
หน่วย,ผล,-,n,ต้นไม้นี้มีหน่วยยัง,-
เบิ้ง,บ้าง,-,-,-,-
แห่น,แทะ,-,-,-,-
สะบุ๊กสะบูด,มอมแมม,-,-,-,-
สะหวอย,หิวจนอ่อนแรง,-,-,-,-
รุ่ระ,รวดเร็ว,-,-,-,-
รุ่ร่ะ,รวดเร็ว,-,-,-,-
สะอ๋อน,เอ็นดู/ยินดี,-,-,-,-
หระอิ๊กหระเอิด,ดีใจจนเกินเหตุ,-,-,-,-
ตื่ง,บวม,-,-,-,-
ขี่ป๊ด,โกหก,-,-,-,-
กระดิ๊กกระเดิด,ระริกระรี้,-,-,-,-
ทิศกะต๊ก,ทิศตะวันตก,13834399-n,-,-,-
หุย,ปลิว,-,-,-,-
หมุนมอ,มีมากมาย,-,-,-,-
ถมหมืดถมมอ,มากมายก่ายกอง,-,-,-,-
แซะแยะ,เยอะแยะ,-,-,-,-
กระบ๋วน,หยิ่ง/ถือตัว,-,-,-,-
เกลี้ยงหน่อง,หมด,-,-,-,-
แข่น,ขัน,-,-,-,-
กะเหวา,ข่วน,-,-,-,-
จ๊ก,ล้วง,-,-,-,-
หระเอิ๋ม,ขยะแขยง,-,-,-,-
ล่ะลึม,ปรอย,-,-,-,-
หน่อ,นะ,-,-,-,-
ล่ะเลิง,พัง,-,-,-,-
กระแช่ะ,กระแทก,-,-,-,-
กะเต็ด,ตกใจ,-,-,-,-
กะลิกกะเหลิม,อยู่ไม่นิ่ง,-,-,-,-
ตะมิดตะหม่อง,เหนียมอาย,-,-,-,-
เซิงเติง,กระเซอะกระเซิง,-,-,-,-
ขะหยูด,ยับยู่ยี่,-,-,-,-
ขะนน,โอ่งน้ำ,-,-,-,-
พูดเดิ๋ม,นินทา,-,-,-,-
แก่,คุณ,-,-,-,-
จ่งไว้,เก็บ/รักษาไว้,-,-,-,-
ชะแหน่ว,หมด/เกลี้ยงเกลา,-,-,-,-
บึ้งกือ,กิ้งกือ,01786646-n,-,-,-
ตะกึ้ด,สะกด,-,-,-,-
ป่ะลึม,ใกล้ค่ำ,-,-,-,-
ตะแก๋,กรรไกร,-,-,-,-
กะบ๋วน,ทำตัวลีลา/ท่าทางเยอะ,-,-,-,-
จั๊กเด่ะ,ไม่รู้,-,-,-,-
อั๊ดจั๋น,แปลกใจ/ประหลาดใจ,-,-,-,-
ขะหนมจี๋น,ขนมจีน,-,-,-,-
ตะป๊ด,โกหก,-,-,-,-
ดึ๊กน้าม,สำลักน้ำ,-,-,-,-
กะแด้ง,ไม่โต,-,-,-,-
ขะเหวา,ข่วน,-,-,-,-
หน่าแง,หน้าผาก,-,-,-,-
จำโอ๋,อาการคลื่นไส้อาเจียน,-,v,เห็นหนอนในปลาร้าก็จำโอ๋ - เพียงเห็นหนอนในปลาร้าก็เกิดอาการคลื่นไส้อาเจียน,-
รากแตก,อาเจียนอย่างรุนแรง,-,v,เมาเห็ดจนรากแตกรากแตน - เมาเห็ดจนอาเจียนออกมาอย่างรุนแรง,-
คั๊กไหม่ อีทีนิ๊,การทำอะไรแบบสุดโต่ง หลุดโลกไปเลย,-,-,-,-
ลันด๋า,เสแสร้/แกล้งทำ/ดัดจริต,-,-,-,-
กะเทิน,ทำอะไรครึ่ง ๆ กลาง ๆ,-,-,-,-
กะบวน,กวน,-,-,-,-
กู้ผ่า,เก็บผ้า,-,-,-,-
กะหวด,ขวด,-,-,-,-
วะว้าบ,โล่ง,-,-,-,-
เริ๊อะ,พุ่มไม้,-,-,-,-
กะเต็ดพราด,สะดุ้งโหย,-,-,-,-
กะทุก,บรรทุก,-,-,-,-
